key,sender,senderID,addressee,addresseeID,addresseePlace,,date,page
110,Johann Adolph Scheibe,118754319,Georg Philipp Telemann,11862119X,,,1750-01-06,328
111,Johann Adolph Scheibe,118754319,Georg Philipp Telemann,11862119X,,,1757-02-08,332
112,Georg Andreas Sorge,126963665,Georg Philipp Telemann,11862119X,,,1750-06-16,335
113,Georg Andreas Sorge,126963665,Georg Philipp Telemann,11862119X,,,1766-10-06,337
114,Georg Andreas Sorge,126963665,Georg Philipp Telemann,11862119X,,,3.Mai 1767 (29.April),340
115,Georg Friedrich Händel,118544489,Georg Philipp Telemann,11862119X,,,1750-12-14,342
116,Georg Friedrich Händel,118544489,Georg Philipp Telemann,11862119X,,,1754-09-20,345
117,Johann Georg Pisendel,11946912X,Georg Philipp Telemann,11862119X,,,1749-04-16,347
118,Johann Georg Pisendel,11946912X,Georg Philipp Telemann,11862119X,,,1750-12?,352
119,Johann Georg Pisendel,11946912X,Georg Philipp Telemann,11862119X,,,1751-03-26,356
120,Johann Georg Pisendel,11946912X,Georg Philipp Telemann,11862119X,,,1752-06-03,360
121,Johann Joachim Quantz,118747975,Georg Philipp Telemann,11862119X,,,1753-11-11,364
122,Johann Friedrich Agricola,118917382,Georg Philipp Telemann,11862119X,,,1752-11-18,366
123,Johann Friedrich Agricola,118917382,Georg Philipp Telemann,11862119X,,,1755-10-20,368
124,Johann Friedrich Agricola,118917382,Georg Philipp Telemann,11862119X,,,1757-05-24,369
125,Carl Philipp Emanuel Bach,118505505,Georg Philipp Telemann,11862119X,,,1756-12-29,372
126,Carl Philipp Emanuel Bach,118505505,Georg Philipp Telemann,11862119X,,,1779-07-05,373
